grade,caster.id,stand.id,force,avg.width,temperature,entry.gauge,exit.gauge,roller.diameter
Grade01,S,F2,2039.406,40.0798,1794.646,0.6156588,0.3405801,755.4302
Grade01,S,F3,1394.946,40.0798,1753.553,0.3405801,0.2188256,640.1703
Grade01,S,F4,1190.332,40.0798,1708.485,0.2188256,0.1635837,665.8711
Grade01,S,F5,833.1546,40.0798,1661.236,0.1635837,0.131784,596.3642
Grade01,S,F1,2087.64,40.0505,1839.425,0.996299,0.6128393,799.5943
Grade01,S,F2,2023.303,40.0505,1793.129,0.6128393,0.3363306,755.4302
Grade01,S,F3,1398.152,40.0505,1752.096,0.3363306,0.214859,640.1703
Grade01,S,F4,1118.956,40.0505,1707.333,0.214859,0.1623741,665.8711
Grade01,S,F5,771.4538,40.0505,1659.007,0.1623741,0.1318403,596.3642
Grade01,S,F1,2253.598,40.0105,1796.91,1.013751,0.6154314,799.5943
Grade01,S,F2,2065.934,40.0105,1755.647,0.6154314,0.3403234,755.4302
Grade01,S,F3,1446.429,40.0105,1720.5,0.3403234,0.2185519,640.1703
Grade01,S,F4,1187.203,40.0105,1680.07,0.2185519,0.1638725,665.8711
Grade01,S,F5,822.0097,40.0105,1636.083,0.1638725,0.1316956,596.3642
Grade01,S,F1,2973.46,61.9401,1836.068,1.209475,0.7650318,799.5943
Grade01,S,F2,2679.504,61.9401,1787.575,0.7650318,0.4873514,757.1725
Grade01,S,F3,1728.165,61.9401,1743.844,0.4873514,0.3536838,640.1703
Grade01,S,F4,1571.48,61.9401,1697.159,0.3536838,0.2750582,665.8711
Grade01,S,F5,1171.521,61.9401,1652.005,0.2750582,0.2272514,594.977
Grade01,S,F1,3087.597,62.3155,1802.842,1.223128,0.7861933,799.5943
Grade01,S,F2,2865.26,62.3155,1758.694,0.7861933,0.4944119,757.1725
Grade01,S,F3,1982.213,62.3155,1720.088,0.4944119,0.346799,640.1703
Grade01,S,F4,1654.674,62.3155,1678.077,0.346799,0.2668529,665.8711
Grade01,S,F5,1263.73,62.3155,1635.653,0.2668529,0.2176105,594.977
Grade01,S,F1,3076.266,62.3521,1814.258,1.215071,0.772466,799.5943
Grade01,S,F2,2821.137,62.3521,1768.24,0.772466,0.483309,757.1725
Grade01,S,F3,1972.101,62.3521,1727.885,0.483309,0.3365223,640.1703
Grade01,S,F4,1613.874,62.3521,1684.734,0.3365223,0.2589401,665.8711
Grade01,S,F5,1164.316,62.3521,1640.784,0.2589401,0.2129718,594.977
Grade01,S,F1,3080.831,62.0886,1814.366,1.21692,0.767589,799.5943
